weight logl sigma l k
0.000000000000000000e+00 -1.773744945791393548e+03 9.447343821986420309e-02 1.919291914411902500e-01 3.816972769190319914e-01
0.000000000000000000e+00 -1.761755290984968497e+03 1.454376067213463131e-01 6.033480619410069856e-02 1.280795417982554252e-01
0.000000000000000000e+00 -1.737638412727371588e+03 2.243922204550843347e-01 7.519265603572147239e-01 1.471610077240781411e-02
0.000000000000000000e+00 -1.735584598965773466e+03 1.317920404786733224e-01 4.783383883995269148e-01 8.151425159175189616e-01
0.000000000000000000e+00 -1.696461681198607948e+03 1.729834534481239361e-01 6.883391203070082787e-01 1.471942887311837866e-01
0.000000000000000000e+00 -1.693240489759611819e+03 1.190119746781730381e-01 3.563658169906901430e-01 7.802065237983346613e-01
0.000000000000000000e+00 -1.691500386437736097e+03 1.481659018033658626e-01 5.903894980112235347e-01 8.469834252277225195e-01
0.000000000000000000e+00 -1.688718078019932136e+03 1.837094649187809292e-01 9.046150823027043764e-02 9.401938478694663592e-01
0.000000000000000000e+00 -1.670650299721362444e+03 2.197412334220423258e-01 4.193414949530471780e-01 9.995532398675945895e-01
0.000000000000000000e+00 -1.665582168346833669e+03 1.282625710205382852e-01 8.519638770801899463e-01 2.753139729291158577e-01
0.000000000000000000e+00 -1.652362482176478352e+03 1.308042979038982478e-01 7.352045590421930621e-01 2.691925767964938876e-01
0.000000000000000000e+00 -1.629833819217805740e+03 1.279091399621840042e-01 1.867236263260658724e-01 2.807441014365574805e-01
0.000000000000000000e+00 -1.628624670441296757e+03 9.465187186030443733e-02 3.799267725060062606e-02 8.324879005123856368e-01
0.000000000000000000e+00 -1.611670323332049520e+03 9.374075864553332860e-02 7.911066859014577179e-01 7.048330965376552459e-01
0.000000000000000000e+00 -1.576656485766730839e+03 1.290622665387457513e-01 9.879618372281278038e-01 2.838451658463774230e-01
0.000000000000000000e+00 -1.574702815044262252e+03 7.275984177431771283e-02 8.244462271362813510e-01 5.583405643907699556e-01
0.000000000000000000e+00 -1.532353403550913526e+03 1.399683690938513525e-01 3.487204089246336292e-01 2.576376345479389762e-01
0.000000000000000000e+00 -1.521546512874396967e+03 2.168792029747823591e-01 6.198929120853666763e-01 6.804065152863836285e-02
0.000000000000000000e+00 -1.450861407789727082e+03 1.957683264702215764e-01 9.327627507284167452e-01 1.281968947618287169e-01
0.000000000000000000e+00 -1.426023663545363888e+03 9.752822224099488846e-02 2.036164138996371387e-01 4.143042820790560077e-01
0.000000000000000000e+00 -1.402261594353358987e+03 2.179130566062978946e-01 7.065026595302460466e-01 9.499681634827592536e-01
0.000000000000000000e+00 -1.367092756480128173e+03 2.350726431623898494e-01 9.758883785995168259e-01 5.606827665109137548e-02
0.000000000000000000e+00 -1.353635394822038279e+03 1.308022894551854609e-01 8.394573224543551149e-01 7.635136769709494065e-01
0.000000000000000000e+00 -1.307601659422697594e+03 2.585085745282004188e-01 3.714518352888189767e-01 1.956619213365085042e-02
0.000000000000000000e+00 -1.242305188652201423e+03 1.602266072408526920e-01 8.181026911618717312e-01 2.462805673301879938e-01
0.000000000000000000e+00 -1.225051075549971301e+03 1.798462217935872243e-01 3.928459288829270202e-01 8.446283527854211437e-01
0.000000000000000000e+00 -1.213838023542688688e+03 2.444509057420601872e-01 4.193818528962653946e-01 6.774608070477017296e-02
0.000000000000000000e+00 -1.201556915644397350e+03 1.802487420258246376e-01 3.010686999411008591e-01 2.056872072474976720e-01
