sigma l k
3.399238130101749356e-01 4.049125917417867870e-01 8.382710115333269485e-02
3.552280193640489636e-01 3.949884853528485840e-01 -7.647106138650938689e-03
3.546232779181244243e-01 3.978318356516594156e-01 -1.870642991597348814e-02
2.884690185533198559e-01 4.204731680817892503e-01 1.195531811133871969e-01
3.674420672362376794e-01 4.115431731738715682e-01 6.052929930236183864e-02
3.381343318260847663e-01 4.246127990310175626e-01 1.203753296789633609e-02
3.484093891182052372e-01 4.078206704212872791e-01 -1.202308854261141535e-01
4.031033802142169886e-01 3.823647920626143115e-01 5.164891566346430096e-02
3.264964887385188308e-01 4.112921250266668438e-01 3.807506682445205293e-02
3.423427260280963447e-01 4.266594628296219716e-01 -2.691249859296263036e-02
3.769205528901474200e-01 3.820256973543552093e-01 7.731857897417038217e-03
3.634735118238634488e-01 4.307988389730253997e-01 -1.171421597311472773e-02
3.227559156678104779e-01 4.281403119304177940e-01 5.269427542459137470e-02
3.976399788068594177e-01 4.350091913705586011e-01 6.172911355706522940e-02
4.028822697500812899e-01 3.958894702019183365e-01 3.555969817470794325e-02
3.457061387764729377e-01 4.022265895486406562e-01 3.577674042285483580e-02
3.410755465930070951e-01 4.135228952413746439e-01 -4.108076598335475005e-02
3.566582840484070482e-01 4.376061511639010027e-01 -7.756429995998348481e-03
3.928816811468927028e-01 3.912641880000645167e-01 5.449655463970626279e-02
3.369740292505006840e-01 4.297736961782338549e-01 1.924872041651415344e-02
3.561285368975231069e-01 4.064683533390461290e-01 4.355641644745911201e-02
3.873078861154056196e-01 4.225426853821181994e-01 5.455371388388452480e-02
3.560791047617246630e-01 4.149743942364819693e-01 2.366698232696196058e-03
3.120062201580999228e-01 4.479752717223882685e-01 6.917746288911175156e-02
3.729729959422814489e-01 4.298766048121490657e-01 -2.269806787334216480e-02
3.757618386215760831e-01 3.997627006135867078e-01 3.782698719880839278e-02
3.437314967991003667e-01 4.003854137273629155e-01 -1.005250860331772245e-01
3.398956757983708776e-01 4.665916711102942038e-01 6.700612193710675513e-02
3.273551305015254265e-01 4.451809347087984370e-01 -4.699505986573426775e-02
4.171072252900117072e-01 3.988013191265613044e-01 8.243625840586421560e-02
3.046448061402385887e-01 4.678056913158931684e-01 5.598896359402849576e-02
2.876790977524117943e-01 4.484051591033814121e-01 9.037348573963477349e-02
3.120512145337135945e-01 4.365224855419988503e-01 7.122930942202509996e-02
3.292777973835201433e-01 4.407919338749750060e-01 2.153594975721673244e-02
3.108722093699299860e-01 4.377141187622677343e-01 2.126514056476902503e-02
3.263101324885331334e-01 3.917167793591629366e-01 7.119535936158438716e-03
3.522227371465407320e-01 4.124033980985455372e-01 2.322058729712583869e-03
3.909119332915131917e-01 3.814903719314352015e-01 -3.723250588045790010e-04
3.309658994189721426e-01 4.448038647541688873e-01 9.992720451417413940e-03
3.723475230409375447e-01 4.301588389144651581e-01 3.480575283255471497e-02
3.390066837773368369e-01 3.945542806253662937e-01 4.650556180908504977e-02
3.605856181416772221e-01 4.258519356758323493e-01 -1.397447480974634004e-02
3.251271227008403208e-01 3.909353960165065645e-01 4.290473748286438571e-02
3.343799890959011090e-01 4.342953823225953469e-01 5.906351371227014369e-02
3.675276078084868114e-01 4.327443552037618102e-01 3.741225888232824204e-02
3.612611214299294993e-01 4.064427719353297386e-01 -3.177023042607851622e-02
3.542855714230771502e-01 4.209161222314693473e-01 1.687232630978829917e-02
3.695759148191153365e-01 4.041804418917219754e-01 1.146057131323590106e-01
3.506048486188156899e-01 3.957434429579922419e-01 6.032276596678043390e-03
3.508027698193862953e-01 4.179180516934871137e-01 8.536421931126580986e-02
3.774163596808944865e-01 4.173322234667146136e-01 6.206611615587021014e-02
3.401173603570014636e-01 4.134727551874550211e-01 2.337678367037243632e-02
3.615146181929839164e-01 4.146004370381914939e-01 8.741059835638087527e-02
3.574970809308889996e-01 3.975043630659083060e-01 5.672982472232246387e-02
3.912578533520522095e-01 3.926967831077189386e-01 2.674684606175370405e-02
3.286149909001154779e-01 4.097400329619837467e-01 7.858522675031776039e-02
3.523134020785560483e-01 3.867318588887022068e-01 3.242738183921178852e-02
3.112062300859739783e-01 4.021046096413774529e-01 4.859209088676363919e-02
3.569815763632194772e-01 3.976716158945654556e-01 -3.338801413280600983e-02
3.694559176115559396e-01 4.017762771863341298e-01 -2.420756107167376658e-02
3.622919422048382354e-01 3.773247904497150640e-01 -1.294282342564545552e-01
2.993145205936057485e-01 4.089663144845279708e-01 1.280558249894037104e-03
3.611715938940146531e-01 4.012798376527790811e-01 4.329609486959462572e-02
3.333015251165574733e-01 4.033789895713540963e-01 -4.500405138133567462e-02
4.177243123715692064e-01 4.097497376872149544e-01 -1.160870429534766046e-02
3.455467990192576666e-01 3.997740261802191775e-01 -5.655910439018929647e-02
3.048619382629801366e-01 3.968532898859195024e-01 -5.141540616386297557e-02
3.923338594901660814e-01 4.109331722372372986e-01 9.547859421608073660e-04
3.842612692439033029e-01 4.202327549089007186e-01 7.514766773541170508e-02
3.984950962493520321e-01 4.072222190165306621e-01 -8.168103005665439120e-02
3.127836408053205064e-01 3.890690943970797622e-01 -7.544333768766842141e-03
3.633572678242502629e-01 4.109701774354532211e-01 1.406143378164292912e-02
2.979813474368232518e-01 4.394436703344226647e-01 -3.563180538728116797e-02
3.366514769633744408e-01 4.172921367463808262e-01 7.112423011877755386e-03
3.651108556851197506e-01 4.262707832034825506e-01 -9.516151059536326340e-02
3.591407073011784190e-01 3.900869425667956580e-01 3.334611998127989807e-02
3.756337795645503519e-01 3.928781131863983700e-01 -4.997895446841638112e-02
3.574519224461864542e-01 4.082679326672732367e-01 6.359235119015371751e-02
3.367202628484719518e-01 4.255274794431273544e-01 7.678674551936071069e-02
3.815970895121087447e-01 4.273384101850631334e-01 5.512203802211024239e-02
3.547963891004218273e-01 4.002158633086777551e-01 1.126332658854534152e-02
3.729545316043239023e-01 4.137877506708186881e-01 7.288224278878874252e-02
