weight logl sigma l k
0.000000000000000000e+00 -4.982110454018682503e+03 8.271948841843579370e-02 1.288442915842948189e+01 -5.718936429610337324e-01
0.000000000000000000e+00 -4.911488357403695773e+03 3.810857162747993687e-02 1.092234460282485031e+01 -3.232095416165692292e-02
0.000000000000000000e+00 -4.830220452350566120e+03 7.006633495863856531e-02 1.275017629173169098e+01 7.297319704661855422e-01
0.000000000000000000e+00 -4.676927840712309262e+03 7.815778485211222204e-02 1.315943320999629051e+01 -4.972933301013549023e-01
0.000000000000000000e+00 -4.642839123707795807e+03 6.988878004698684254e-02 1.758642221918006499e+01 -4.084010281116094987e-01
0.000000000000000000e+00 -4.390976641773496340e+03 2.849821675599029103e-02 5.980674972214716334e+00 2.952019938423777745e-01
0.000000000000000000e+00 -4.344154229390575892e+03 5.786496149837727643e-02 1.185938259739218914e+01 6.067628393633577311e-01
0.000000000000000000e+00 -4.230700982643328643e+03 1.223674228165785305e-01 8.489015410357032110e+00 -8.394534751035225284e-01
0.000000000000000000e+00 -4.220976934621422515e+03 1.195506905050429669e-01 1.365413040184133919e+01 -8.156551082607268466e-01
0.000000000000000000e+00 -4.200365763918312950e+03 3.126982666475175421e-02 1.895542481245377076e+01 2.035363182748355371e-01
0.000000000000000000e+00 -4.191653369037639095e+03 3.352821379478643227e-02 1.440187735011607018e+01 1.402155988733397862e-01
0.000000000000000000e+00 -4.032498758300053396e+03 1.384636277427780948e-01 1.911017559135172661e+01 -9.374663704635313177e-01
0.000000000000000000e+00 -4.008130855621560841e+03 7.505668646374408226e-02 1.429260849232889541e+01 -3.982934719676365365e-01
0.000000000000000000e+00 -3.858632549605252279e+03 4.195646389416218813e-02 6.784496827871146607e+00 2.805769995883533596e-02
0.000000000000000000e+00 -3.703665665485563750e+03 1.094010011854485986e-01 6.144549143338331021e+00 8.494184822521482214e-01
0.000000000000000000e+00 -3.655122947242878581e+03 1.112852611878856202e-01 1.648542167495152100e+01 -6.767456173227421878e-01
0.000000000000000000e+00 -3.566319831962322041e+03 4.689969493672441203e-02 8.358686649627507848e+00 -1.024945252277231766e-02
0.000000000000000000e+00 -3.441974008143471565e+03 1.098230413207732514e-01 3.918831363623658248e+00 8.170172225375134101e-01
0.000000000000000000e+00 -3.436134230005596237e+03 3.900577363129686947e-02 6.567418188901155141e+00 1.903594110566764197e-01
0.000000000000000000e+00 -3.369638293371100190e+03 9.155628353341516146e-02 2.354193158869972713e+00 7.042921864273705701e-01
0.000000000000000000e+00 -3.323561609214521013e+03 9.881981889739865910e-02 8.643680604078900487e+00 -5.322650163845183968e-01
0.000000000000000000e+00 -3.321725444261338453e+03 1.365805008149233446e-01 6.813556227112325558e+00 9.536914228604589372e-01
0.000000000000000000e+00 -3.254116172279918374e+03 7.723616893171236786e-02 6.106882764702186606e+00 6.044282107184160147e-01
0.000000000000000000e+00 -3.157626610990508652e+03 1.481910662408122414e-01 3.848003820753034265e+00 9.929487233929057410e-01
0.000000000000000000e+00 -3.143588210959122534e+03 1.228837628642505120e-01 1.615403893485479614e+01 -6.918732039828960900e-01
0.000000000000000000e+00 -3.138178526024309576e+03 1.028399409971656464e-01 4.990549027835387008e+00 7.351333626570679680e-01
0.000000000000000000e+00 -3.085655089308236711e+03 6.480040006495357829e-02 1.958575718363825402e+01 -1.795174323486281587e-01
0.000000000000000000e+00 -3.074838876459542462e+03 9.328655827733101091e-02 1.825914412238146411e+01 6.726781298181572222e-01
0.000000000000000000e+00 -3.066132161250593981e+03 6.289909099840051976e-02 1.995094001437756503e+01 4.904543075694076659e-01
0.000000000000000000e+00 -3.061021574573867383e+03 1.633421500174380148e-01 1.376527100219567856e+01 -9.535945666260898790e-01
0.000000000000000000e+00 -2.957332217466406746e+03 6.483454871927474272e-02 1.417697272979093803e+01 -1.615207263471003518e-01
0.000000000000000000e+00 -2.953488648127952274e+03 8.704655479742229307e-02 1.379814429639061579e+01 -3.817995793518953462e-01
0.000000000000000000e+00 -2.858103586584833010e+03 5.910087779368822236e-02 1.157855275486741320e+01 -7.547833365295142372e-02
0.000000000000000000e+00 -2.735104588919305570e+03 1.260420735800873437e-01 9.125707981111313316e+00 7.996758561664960574e-01
0.000000000000000000e+00 -2.724946788786229263e+03 5.106506626027185192e-02 1.716579736030687897e+01 8.385279266532541520e-02
0.000000000000000000e+00 -2.696596680153911166e+03 1.618701558617697822e-01 1.705090278414417782e+01 -8.741668554179722328e-01
0.000000000000000000e+00 -2.667609046221994504e+03 1.314801915455930947e-01 1.958368340650775963e+01 8.168351959918531691e-01
0.000000000000000000e+00 -2.663951344476497979e+03 9.666009657511909214e-02 6.158045764728026228e+00 6.308646229779850678e-01
0.000000000000000000e+00 -2.618871895322141427e+03 5.004557126925579524e-02 1.145618337375196205e+01 2.442933235508111256e-01
0.000000000000000000e+00 -2.610627706874652631e+03 1.330439006987306216e-01 2.278756502989152111e+00 8.188266822400704914e-01
0.000000000000000000e+00 -2.562694249092139216e+03 1.712568562677765360e-01 1.403275307497283464e+01 -9.036890962548835837e-01
0.000000000000000000e+00 -2.506032615144576539e+03 3.909966370950601622e-02 9.353418757014653195e-01 1.263492327631179357e-01
0.000000000000000000e+00 -2.491427401333283342e+03 1.507307167335223408e-01 8.752755063671141755e+00 -7.644587227945633945e-01
0.000000000000000000e+00 -2.348391432765605259e+03 5.642338570002658482e-02 7.213717548862526030e+00 2.791530693663177853e-01
0.000000000000000000e+00 -2.345024653852818119e+03 1.213803538060331810e-01 1.280579643122698386e+01 7.065177004171898645e-01
0.000000000000000000e+00 -2.300217990210580410e+03 1.359355179611423381e-01 6.871448630816443526e+00 7.712809394307653665e-01
0.000000000000000000e+00 -2.294355626743541961e+03 1.714004028935608437e-01 1.773095233617411992e+01 -8.455235951169546293e-01
0.000000000000000000e+00 -2.277180372778742367e+03 6.727062194791622041e-02 2.944367023888205814e+00 3.849810940451008356e-01
0.000000000000000000e+00 -2.264221960939888504e+03 1.748361284695723050e-01 1.926026169836615765e+01 -8.581842382434046179e-01
0.000000000000000000e+00 -2.253047791729793062e+03 1.925553551424953325e-01 1.473273391709463098e+01 -9.542847132345486649e-01
0.000000000000000000e+00 -2.244637264626566775e+03 1.007727575893837546e-01 1.500612526993024076e+01 5.823535411342339874e-01
0.000000000000000000e+00 -2.200461690397529310e+03 7.864834545075116701e-02 5.885769621716832489e+00 -1.821605038173157443e-01
0.000000000000000000e+00 -2.194080031236072955e+03 6.824394983474568743e-02 6.630728653609637036e+00 3.741261591833247024e-01
0.000000000000000000e+00 -2.145067917338372354e+03 1.843749683470350398e-01 1.832026851163205095e+01 -8.826176307123199116e-01
0.000000000000000000e+00 -2.121085569488375768e+03 1.330563638540256388e-01 1.184926927372613470e+01 7.210038929920556949e-01
0.000000000000000000e+00 -2.099800741026186643e+03 6.549512487683606388e-02 1.989182536365623122e+01 3.233855946491859257e-01
0.000000000000000000e+00 -2.079311181723776826e+03 6.264728849269718403e-02 5.294871718515983261e+00 5.832744264573586079e-02
0.000000000000000000e+00 -2.054088891127862098e+03 6.128262268347728359e-02 1.111603100326395044e+01 1.069254196798969936e-01
0.000000000000000000e+00 -2.036805814150229708e+03 1.665778215791176020e-01 1.527266539383709265e+00 9.378883033644780376e-01
0.000000000000000000e+00 -1.986966741152594295e+03 7.039254341542156013e-02 9.376435063309118689e+00 3.403302285852038978e-01
0.000000000000000000e+00 -1.969616219891437140e+03 1.158297963502118444e-01 7.216421830438745744e+00 6.057337515821685781e-01
0.000000000000000000e+00 -1.955581544565922968e+03 6.303871353685863710e-02 3.708059772175251734e+00 2.159229823555135486e-01
0.000000000000000000e+00 -1.893944317653195867e+03 1.671010395673030446e-01 6.244405426511800528e+00 -7.262229038568031037e-01
0.000000000000000000e+00 -1.856327538888737536e+03 1.880666873243501680e-01 1.076758607440346971e+01 -8.268824936870413644e-01
0.000000000000000000e+00 -1.833068588451674259e+03 7.669074279836352037e-02 2.676614279268061392e+00 -7.795010665828883134e-02
0.000000000000000000e+00 -1.773744945791393548e+03 9.447343821986420309e-02 3.838583828823805000e+00 -2.366054461619360172e-01
0.000000000000000000e+00 -1.761755290984968497e+03 1.454376067213463131e-01 1.206696123882013971e+00 -7.438409164034891496e-01
0.000000000000000000e+00 -1.737638412727371588e+03 2.243922204550843347e-01 1.503853120714429537e+01 -9.705677984551843718e-01
0.000000000000000000e+00 -1.735584598965773466e+03 1.317920404786733224e-01 9.566767767990537408e+00 6.302850318350379233e-01
0.000000000000000000e+00 -1.696461681198607948e+03 1.729834534481239361e-01 1.376678240614016602e+01 -7.056114225376324267e-01
0.000000000000000000e+00 -1.693240489759611819e+03 1.190119746781730381e-01 7.127316339813802415e+00 5.604130475966693226e-01
0.000000000000000000e+00 -1.691500386437736097e+03 1.481659018033658626e-01 1.180778996022447025e+01 6.939668504554450390e-01
0.000000000000000000e+00 -1.688718078019932136e+03 1.837094649187809292e-01 1.809230164605408753e+00 8.803876957389327185e-01
0.000000000000000000e+00 -1.670650299721362444e+03 2.197412334220423258e-01 8.386829899060943561e+00 9.991064797351891791e-01
0.000000000000000000e+00 -1.665582168346833669e+03 1.282625710205382852e-01 1.703927754160379848e+01 -4.493720541417682846e-01
0.000000000000000000e+00 -1.652362482176478352e+03 1.308042979038982478e-01 1.470409118084386080e+01 -4.616148464070122248e-01
0.000000000000000000e+00 -1.629833819217805740e+03 1.279091399621840042e-01 3.734472526521317448e+00 -4.385117971268850390e-01
0.000000000000000000e+00 -1.628624670441296757e+03 9.465187186030443733e-02 7.598535450120125212e-01 6.649758010247712736e-01
0.000000000000000000e+00 -1.611670323332049520e+03 9.374075864553332860e-02 1.582213371802915347e+01 4.096661930753104919e-01
0.000000000000000000e+00 -1.576656485766730839e+03 1.290622665387457513e-01 1.975923674456255696e+01 -4.323096683072451540e-01
0.000000000000000000e+00 -1.574702815044262252e+03 7.275984177431771283e-02 1.648892454272562702e+01 1.166811287815399112e-01
0.000000000000000000e+00 -1.532353403550913526e+03 1.399683690938513525e-01 6.974408178492672583e+00 -4.847247309041220475e-01
0.000000000000000000e+00 -1.521546512874396967e+03 2.168792029747823591e-01 1.239785824170733264e+01 -8.639186969427232743e-01
0.000000000000000000e+00 -1.450861407789727082e+03 1.957683264702215764e-01 1.865525501456833624e+01 -7.436062104763425662e-01
0.000000000000000000e+00 -1.426023663545363888e+03 9.752822224099488846e-02 4.072328277992742329e+00 -1.713914358418879846e-01
0.000000000000000000e+00 -1.402261594353358987e+03 2.179130566062978946e-01 1.413005319060492049e+01 8.999363269655185071e-01
0.000000000000000000e+00 -1.367092756480128173e+03 2.350726431623898494e-01 1.951776757199033696e+01 -8.878634466978172490e-01
0.000000000000000000e+00 -1.353635394822038279e+03 1.308022894551854609e-01 1.678914644908710230e+01 5.270273539418988129e-01
0.000000000000000000e+00 -1.307601659422697594e+03 2.585085745282004188e-01 7.429036705776379534e+00 -9.608676157326982992e-01
0.000000000000000000e+00 -1.242305188652201423e+03 1.602266072408526920e-01 1.636205382323743507e+01 -5.074388653396240123e-01
0.000000000000000000e+00 -1.225051075549971301e+03 1.798462217935872243e-01 7.856918577658539959e+00 6.892567055708422874e-01
