weight logl k
0.000000000000000000e+00 -1.453224222229486331e+05 -1.486891625098272218e+00
0.000000000000000000e+00 -1.430215514389938617e+05 -1.471510202402283252e+00
0.000000000000000000e+00 -1.426766690719420731e+05 -1.469193472868769224e+00
0.000000000000000000e+00 -1.401443925231742032e+05 -1.452092084106587855e+00
0.000000000000000000e+00 -1.392087646419559605e+05 -1.445732363062234072e+00
0.000000000000000000e+00 -1.386310824123786297e+05 -1.441794459053958644e+00
0.000000000000000000e+00 -1.382877488752960344e+05 -1.439449953154589679e+00
0.000000000000000000e+00 -1.379206415248424164e+05 -1.436939711107534823e+00
0.000000000000000000e+00 -1.372959185727954318e+05 -1.432659818093301229e+00
0.000000000000000000e+00 -1.370787223861510865e+05 -1.431169434008632280e+00
0.000000000000000000e+00 -1.366796093165444327e+05 -1.428427503058240067e+00
0.000000000000000000e+00 -1.361533273502013762e+05 -1.424805457396656649e+00
0.000000000000000000e+00 -1.358269768457586179e+05 -1.422555698950292324e+00
0.000000000000000000e+00 -1.352866790971904702e+05 -1.418824783342615969e+00
0.000000000000000000e+00 -1.349375712288595969e+05 -1.416409911849291881e+00
0.000000000000000000e+00 -1.332969539759011241e+05 -1.405016960950778326e+00
0.000000000000000000e+00 -1.321523281578483875e+05 -1.397024458462534646e+00
0.000000000000000000e+00 -1.320371614527974743e+05 -1.396218272098770363e+00
0.000000000000000000e+00 -1.318414165811101557e+05 -1.394847172935609780e+00
0.000000000000000000e+00 -1.307736795563729829e+05 -1.387349194095783389e+00
0.000000000000000000e+00 -1.301721218173754460e+05 -1.383110626882956051e+00
0.000000000000000000e+00 -1.299877991502541990e+05 -1.381809821957459050e+00
0.000000000000000000e+00 -1.289714109577619383e+05 -1.374619382470449569e+00
0.000000000000000000e+00 -1.278756752595639409e+05 -1.366833968241278896e+00
0.000000000000000000e+00 -1.268153148979013786e+05 -1.359266243297739152e+00
0.000000000000000000e+00 -1.260134578939826024e+05 -1.353521184747619621e+00
0.000000000000000000e+00 -1.253510956586636748e+05 -1.348760954940396939e+00
0.000000000000000000e+00 -1.225706803128294414e+05 -1.328632011693342996e+00
0.000000000000000000e+00 -1.225579900330112141e+05 -1.328539588176165687e+00
0.000000000000000000e+00 -1.223753469505654357e+05 -1.327208833207321081e+00
0.000000000000000000e+00 -1.220655644446294027e+05 -1.324949318309235125e+00
0.000000000000000000e+00 -1.212721261398632050e+05 -1.319148172194203994e+00
0.000000000000000000e+00 -1.206960243397446175e+05 -1.314923433845122336e+00
0.000000000000000000e+00 -1.199968109649207327e+05 -1.309781478376563779e+00
0.000000000000000000e+00 -1.198050567102797359e+05 -1.308368557007122401e+00
0.000000000000000000e+00 -1.192843592300755845e+05 -1.304525783971326458e+00
0.000000000000000000e+00 -1.187112772883381840e+05 -1.300286099974620857e+00
0.000000000000000000e+00 -1.176151569284066063e+05 -1.292146562820277733e+00
0.000000000000000000e+00 -1.168749407984956633e+05 1.997064818546511855e+00
0.000000000000000000e+00 -1.168725032631498470e+05 1.997046612152744149e+00
0.000000000000000000e+00 -1.167993364591767604e+05 -1.286062265983733965e+00
0.000000000000000000e+00 -1.157626210080329765e+05 -1.278297862947884056e+00
0.000000000000000000e+00 -1.149389720281862537e+05 -1.272102797673928087e+00
0.000000000000000000e+00 -1.148393119877589634e+05 1.981789361780649905e+00
0.000000000000000000e+00 -1.143325224836782436e+05 1.977964033496502072e+00
0.000000000000000000e+00 -1.141465922411883366e+05 1.976558339264438136e+00
0.000000000000000000e+00 -1.137893818771862570e+05 1.973854284954012162e+00
0.000000000000000000e+00 -1.134268290928552742e+05 -1.260667405893938664e+00
0.000000000000000000e+00 -1.133109610635937424e+05 1.970225584544870401e+00
0.000000000000000000e+00 -1.132282849756235373e+05 1.969597680866635780e+00
0.000000000000000000e+00 -1.131181308850017813e+05 1.968760709150385146e+00
0.000000000000000000e+00 -1.129508067241206300e+05 -1.257050761088077895e+00
0.000000000000000000e+00 -1.129301579085720296e+05 1.967331451309113799e+00
0.000000000000000000e+00 -1.128674890633420000e+05 -1.256416909218474043e+00
0.000000000000000000e+00 -1.128447030554877128e+05 1.966681273777002303e+00
0.000000000000000000e+00 -1.127625842118763539e+05 1.966056230787744941e+00
0.000000000000000000e+00 -1.127564433311413304e+05 -1.255571724050107196e+00
0.000000000000000000e+00 -1.121499819621792267e+05 1.961385767588589957e+00
0.000000000000000000e+00 -1.119268696659537673e+05 -1.249243631964430001e+00
0.000000000000000000e+00 -1.116853937221656088e+05 -1.247396927889848239e+00
0.000000000000000000e+00 -1.114047976557440707e+05 -1.245248373367534800e+00
0.000000000000000000e+00 -1.113905175516170275e+05 -1.245138951925626181e+00
0.000000000000000000e+00 -1.112566012798465090e+05 1.954550208875071249e+00
0.000000000000000000e+00 -1.108722538371641567e+05 -1.241162675462239129e+00
0.000000000000000000e+00 -1.096716807342571119e+05 -1.231913247169529768e+00
0.000000000000000000e+00 -1.094490343576840096e+05 -1.230192008424019878e+00
0.000000000000000000e+00 -1.094479232288726053e+05 -1.230183413802527159e+00
0.000000000000000000e+00 -1.090639594985543954e+05 -1.227210645327720506e+00
0.000000000000000000e+00 -1.089809936596369080e+05 1.937005319587300711e+00
0.000000000000000000e+00 -1.085532552955520077e+05 1.933685692364877085e+00
0.000000000000000000e+00 -1.084164430613016157e+05 -1.222184678048297002e+00
0.000000000000000000e+00 -1.083732120732719777e+05 1.932286308442192180e+00
0.000000000000000000e+00 -1.083714214858291816e+05 -1.221834628864927552e+00
0.000000000000000000e+00 -1.079323789568503853e+05 -1.218416928284831169e+00
0.000000000000000000e+00 -1.077071000629152695e+05 1.927098129367107671e+00
0.000000000000000000e+00 -1.075432580481558689e+05 -1.215381622917810933e+00
0.000000000000000000e+00 -1.073621807143957703e+05 -1.213967142396864318e+00
0.000000000000000000e+00 -1.069394395661361486e+05 -1.210659938306538841e+00
0.000000000000000000e+00 -1.069279604067799955e+05 -1.210570036709188280e+00
0.000000000000000000e+00 -1.068365926595773490e+05 -1.209854285679940133e+00
0.000000000000000000e+00 -1.067950358942308230e+05 -1.209528632531207126e+00
0.000000000000000000e+00 -1.067473928058699239e+05 1.919592957465693583e+00
0.000000000000000000e+00 -1.066836108402469254e+05 -1.208655132699945511e+00
0.000000000000000000e+00 -1.065856611711383302e+05 -1.207886867955125787e+00
0.000000000000000000e+00 -1.065615964045173605e+05 -1.207698059025618331e+00
0.000000000000000000e+00 -1.062372275853329920e+05 -1.205150875424849222e+00
0.000000000000000000e+00 -1.060128525306115916e+05 -1.203386481055570112e+00
0.000000000000000000e+00 -1.059981171414507844e+05 -1.203270538036864679e+00
0.000000000000000000e+00 -1.053546642325116409e+05 -1.198199193791803729e+00
0.000000000000000000e+00 -1.053448376141789777e+05 -1.198121617398511862e+00
0.000000000000000000e+00 -1.053442332124160894e+05 1.908554601833160724e+00
0.000000000000000000e+00 -1.051181643480151834e+05 1.906768821067650777e+00
0.000000000000000000e+00 -1.048097618228766223e+05 1.904329344100484267e+00
0.000000000000000000e+00 -1.047253898626875744e+05 -1.193223532784466467e+00
0.000000000000000000e+00 -1.042210238822162646e+05 -1.189223947324470121e+00
0.000000000000000000e+00 -1.038127890662122809e+05 1.896416830553336208e+00
0.000000000000000000e+00 -1.036335731789272104e+05 -1.184552409079207891e+00
0.000000000000000000e+00 -1.032819812438730150e+05 -1.181749679936543451e+00
0.000000000000000000e+00 -1.032740838003698154e+05 1.892124422478701273e+00
0.000000000000000000e+00 -1.029996042225011042e+05 -1.179494994083364556e+00
0.000000000000000000e+00 -1.024967071507489745e+05 -1.175471305322956184e+00
0.000000000000000000e+00 -1.023876172694160050e+05 -1.174597078323692756e+00
0.000000000000000000e+00 -1.020520488118623616e+05 -1.171904754612492994e+00
0.000000000000000000e+00 -1.018398445601212443e+05 1.880637506654906144e+00
0.000000000000000000e+00 -1.018339182686399145e+05 1.880589863144875196e+00
0.000000000000000000e+00 -1.013325149678266753e+05 -1.166115748954704490e+00
0.000000000000000000e+00 -1.012296259940440505e+05 -1.165286155115423661e+00
0.000000000000000000e+00 -1.011650575194588018e+05 -1.164765308244730235e+00
0.000000000000000000e+00 -1.011175588180047343e+05 1.874819798145554106e+00
0.000000000000000000e+00 -1.009819561000352696e+05 -1.163287334077272472e+00
0.000000000000000000e+00 -1.004699539700126188e+05 -1.159146854043222152e+00
0.000000000000000000e+00 -1.001923943544749636e+05 1.867335290493130184e+00
0.000000000000000000e+00 -1.001764497390094766e+05 -1.156768219027848765e+00
0.000000000000000000e+00 -1.001104979109064734e+05 -1.156233213091439449e+00
0.000000000000000000e+00 -1.000862877887484065e+05 -1.156036771328355250e+00
0.000000000000000000e+00 -9.994549276175154955e+04 1.865331605232178003e+00
0.000000000000000000e+00 -9.990591509420581860e+04 1.865010172532215016e+00
0.000000000000000000e+00 -9.957075923291401705e+04 -1.151847677108610579e+00
0.000000000000000000e+00 -9.941643036917525751e+04 -1.150591361409297519e+00
0.000000000000000000e+00 -9.931318154317789595e+04 -1.149750277765272610e+00
0.000000000000000000e+00 -9.916877953900756256e+04 -1.148573163827705468e+00
0.000000000000000000e+00 -9.911327081078871561e+04 -1.148120431111502970e+00
0.000000000000000000e+00 -9.910043854610706330e+04 1.858453506961442514e+00
0.000000000000000000e+00 -9.900391681998778949e+04 1.857665889924191571e+00
0.000000000000000000e+00 -9.894631797440879745e+04 -1.146757930700781358e+00
0.000000000000000000e+00 -9.882309588328668906e+04 -1.145751523170374764e+00
0.000000000000000000e+00 -9.878476401904210798e+04 -1.145438312799946790e+00
0.000000000000000000e+00 -9.857302013949913089e+04 1.854144726370781537e+00
0.000000000000000000e+00 -9.851907764126935217e+04 1.853703341076429201e+00
0.000000000000000000e+00 -9.844810315054452803e+04 -1.142684637084517174e+00
0.000000000000000000e+00 -9.815125643868917541e+04 1.850690165883914773e+00
