sigma l a b
1.685176202077480756e-01 5.978517877281619430e-01 7.019398966950488039e-03 3.173768375085961324e-02
1.704076214954466928e-01 6.636534253717618626e-01 7.576104803803621057e-03 7.035464842658267770e-03
1.933584981562428973e-01 6.054959656466351037e-01 7.160600625959724630e-03 2.883430114703289249e-02
2.026578533629387890e-01 6.512782309790212665e-01 6.878764426804948040e-03 4.035758361442098874e-02
2.005065242716261298e-01 5.810712425099330281e-01 7.833205407710305823e-03 2.276820382522037889e-02
1.781835720736332229e-01 5.757426797655494921e-01 7.162901443090820275e-03 3.629455235509970734e-02
1.651442121991260337e-01 7.557485586185361814e-01 7.365829487185317215e-03 3.119881915246569548e-02
1.995409676482265970e-01 6.588243256989667618e-01 8.220858628113794642e-03 -6.174040182615803118e-03
2.009496849840389787e-01 6.416113975489529109e-01 6.495719492319210198e-03 -3.854207485906702146e-03
1.959845189423313205e-01 6.349790631921613526e-01 6.432770036645676925e-03 -2.569764124588913567e-02
1.774104230361604473e-01 6.640399120276549993e-01 7.181548036750161346e-03 -5.610813036284412192e-03
1.950232499717800272e-01 6.333389201035982685e-01 7.274539412951308570e-03 4.690279350732406982e-03
1.968726054753509036e-01 5.720687629297400711e-01 6.543457687274358003e-03 -6.498263692964467708e-03
1.811790583485500261e-01 5.950393541043110801e-01 6.656245429114436563e-03 2.101481750103140200e-02
1.810549167911237045e-01 5.436839391682735112e-01 6.099722121619154114e-03 7.666777635583876815e-03
1.667720518031285959e-01 6.934103201347809886e-01 7.217218333270311592e-03 1.069797351900847460e-02
2.217106224589832086e-01 5.909899703315536490e-01 7.042659938722606316e-03 1.374577070459048755e-02
1.884698982499025677e-01 6.372428381848243006e-01 7.156329239458594782e-03 3.260104627379423192e-02
1.887316534467577134e-01 7.115902529153401712e-01 6.374144989925743798e-03 3.123507959804028289e-02
1.702961199635806555e-01 5.523978548008436906e-01 7.358611615594812250e-03 8.536879718542778051e-03
1.932081670799536410e-01 5.741078208440004715e-01 7.816330626450415653e-03 1.691790860605912883e-02
1.717807133227629013e-01 5.206125031882082865e-01 7.497115382410546314e-03 3.475797750874187741e-02
1.872021786280311795e-01 6.167882424479578241e-01 6.790367454298215644e-03 -3.198349276481815551e-02
2.075568217956005601e-01 5.365731742736213894e-01 7.452126487499974306e-03 -7.472759102842507772e-03
2.020298411990445187e-01 6.023954947477900834e-01 7.295079854402954089e-03 2.936649827486226272e-02
1.715963083412608281e-01 5.816516986873305761e-01 8.047424912888401227e-03 3.472339340159891208e-02
