weight logl sigma l a b
0.000000000000000000e+00 -1.295780599423621970e+04 2.081624036750477913e-01 6.780091444158472536e-01 1.001557725647937991e-01 2.229018540548364236e-01
0.000000000000000000e+00 -1.294286304385626136e+04 2.027800333642157948e-01 3.375533843099920439e-01 2.136819046835111147e-01 5.858283377986694962e-02
0.000000000000000000e+00 -1.269880321186557740e+04 1.075710808425819343e-01 1.327987725439997435e-01 5.311897764677135925e-01 1.269575289403062079e-01
0.000000000000000000e+00 -1.256877269521671951e+04 2.617504910652881378e-01 1.433088578290099280e-01 6.243595582427374779e-03 1.313577914591533835e-01
0.000000000000000000e+00 -1.256826034434427675e+04 1.911508262833440108e-01 5.353265971143571500e-01 7.955519145994405239e-02 6.623807948416007285e-01
0.000000000000000000e+00 -1.244029159169450031e+04 1.149434431300802029e-01 9.182572048899082517e-01 9.081279887825527419e-01 4.441627054659886831e-01
0.000000000000000000e+00 -1.209485829538056532e+04 6.037677701948584996e-02 8.344192621203233573e-01 7.815747778605242058e-01 4.885184369218810163e-01
0.000000000000000000e+00 -1.182934461578581795e+04 1.174407552552430012e-01 3.168659918375723583e-01 3.292532054096176664e-01 3.066444376940151706e-01
0.000000000000000000e+00 -1.162226375406783336e+04 8.507111822693302905e-02 3.064938847711458081e-01 6.801186594585609813e-01 1.635567341884630599e-01
0.000000000000000000e+00 -1.152332510331418780e+04 2.920629681566695446e-01 1.115378782652894918e-01 4.037699004017736293e-03 2.931480046612922052e-02
0.000000000000000000e+00 -1.150344017634472220e+04 2.113837445639390467e-01 9.857034356456476631e-01 6.872313316080469470e-02 4.020743513119281465e-01
0.000000000000000000e+00 -1.125581583301692444e+04 1.402646534790604749e-01 6.528454359213682334e-01 2.743444221812393335e-01 8.263969329125979701e-01
0.000000000000000000e+00 -1.102461329888704131e+04 2.551609849814290287e-01 3.121129937866534698e-01 9.505608466849202465e-02 8.590782003623276264e-02
0.000000000000000000e+00 -1.082541864179837648e+04 1.000332328036729335e-01 7.613105082806348456e-02 8.628228417455032773e-01 5.190263767530678418e-01
0.000000000000000000e+00 -1.071755680869154457e+04 1.376266033195392424e-01 8.656879721533645711e-01 2.413534158170363986e-01 4.409344034656559330e-01
0.000000000000000000e+00 -1.067499031638723500e+04 4.031473508871785683e-02 1.126074959612153314e-01 4.203842356812658165e-01 6.579799341426226800e-01
0.000000000000000000e+00 -1.060539613899707001e+04 1.319555576499440441e-01 6.124456752648851365e-01 3.420626591856972265e-01 2.548003728726069284e-01
0.000000000000000000e+00 -1.052034310761324559e+04 1.691901481567014143e-01 6.825566403566603046e-01 9.655250977739946450e-01 5.971931645294387137e-01
0.000000000000000000e+00 -1.050665583685001729e+04 1.410318945254696033e-01 1.444082426936019736e-01 2.214679561888347470e-01 6.224943446383980339e-01
0.000000000000000000e+00 -1.024155878585414030e+04 2.433783576123903503e-01 6.587811159780739834e-01 1.382568537527741892e-01 1.095811488204545547e-01
0.000000000000000000e+00 -1.013802798088111740e+04 1.119744709029074636e-01 4.808359115975289200e-01 2.843456817535945369e-01 6.030624587151187654e-01
0.000000000000000000e+00 -1.011001800669671866e+04 1.437690058689091721e-01 9.070524739372846090e-01 9.311739318951827160e-01 4.188882252516040738e-01
0.000000000000000000e+00 -1.005729642929623151e+04 8.362936086497418930e-02 9.897055620379509033e-01 5.679956361951180588e-01 7.894669974177825900e-01
0.000000000000000000e+00 -9.888588921555448906e+03 1.865119867256179731e-01 4.424067127462806281e-01 9.120933895621787801e-01 7.877956491545079487e-01
0.000000000000000000e+00 -9.841975655883312356e+03 2.464973194414998847e-01 6.283651890751286162e-01 3.931653040745364258e-02 7.304182260906623148e-01
0.000000000000000000e+00 -9.823117201167315216e+03 1.729135037419239351e-01 5.983103966933640550e-01 3.628980700494625067e-01 9.660352826328755249e-01
0.000000000000000000e+00 -9.732011974718112469e+03 5.310337764382710990e-02 6.979956241597043975e-01 6.323219713037699918e-01 6.655730715556191779e-01
0.000000000000000000e+00 -9.685102319501922466e+03 1.435196384297620087e-01 4.177751321299565390e-01 2.293515485342680904e-01 5.882208902742975809e-01
0.000000000000000000e+00 -9.472800071552721420e+03 1.317952914320815738e-01 3.438235463840907391e-01 8.978303983764001073e-01 4.065174210396110821e-01
0.000000000000000000e+00 -9.464238751077054985e+03 1.460129028127178374e-01 3.810643999142225846e-01 7.778781426928536025e-01 8.043558252676866749e-01
0.000000000000000000e+00 -9.367330392767438752e+03 2.632521345779835764e-01 7.660368392904538526e-01 5.315188746186083613e-03 6.352535916708959007e-01
0.000000000000000000e+00 -9.253347656951373210e+03 9.871536460357832610e-02 6.472507297415768246e-01 7.832848878228277911e-01 2.336378798866730611e-01
0.000000000000000000e+00 -8.962052703241670315e+03 1.600393444863045245e-01 6.855391285608943841e-01 4.809800587603140221e-01 9.529447728501380110e-01
0.000000000000000000e+00 -8.937226072600589760e+03 1.337353965605235784e-01 8.053068119329135355e-01 8.705215944406069495e-01 2.848640150521885017e-01
0.000000000000000000e+00 -8.937136482431207696e+03 1.546026680074823467e-01 8.035133912141840806e-01 8.232904425155640471e-01 7.615354871938950776e-01
0.000000000000000000e+00 -8.920300191785612697e+03 1.624303045804882384e-01 8.654669509087538071e-01 8.340159689200369320e-01 7.745623952916926847e-01
0.000000000000000000e+00 -8.912234414324742829e+03 3.188978826267842015e-01 5.608765203059110638e-01 7.228880351514144209e-03 9.745002159742408576e-01
0.000000000000000000e+00 -8.741448820708046696e+03 1.336247767857670077e-01 9.745724369926164199e-01 6.921067886509598699e-01 1.137023438895816696e-01
0.000000000000000000e+00 -8.699219777623757182e+03 9.815387095443528498e-02 3.623433291495636865e-02 2.752378292174514351e-01 3.537332404090592908e-01
0.000000000000000000e+00 -8.588031439894271898e+03 1.824015641432839008e-01 7.537570392954068277e-01 9.461402695782518135e-01 2.658460361742722711e-01
0.000000000000000000e+00 -8.567270090190417250e+03 1.632640578349442428e-01 6.283832239806751430e-01 8.912575326027548650e-01 2.215779490342847380e-01
