weight logl sigma l a b
0.000000000000000000e+00 -1.744435951934845070e+04 1.067750513194448692e-01 1.413454422378507758e+01 -2.672046117159997472e-02 -2.393030901979127378e-01
0.000000000000000000e+00 -1.679019871449147468e+04 1.580935029524765945e-01 1.763719693073540284e+01 -4.171873516070443572e-02 5.223527000919623298e-01
0.000000000000000000e+00 -1.653633631669083843e+04 1.250138208836658604e-01 1.133234179324183089e+01 -3.301952227921099714e-02 4.927356263284590199e-01
0.000000000000000000e+00 -1.585394553179607465e+04 9.996161360207345137e-02 2.058291666518292651e+00 4.121911451377152646e-02 -7.464736870279509162e-02
0.000000000000000000e+00 -1.579665969176648468e+04 1.158827882789621455e-01 1.934521857788424981e+01 -2.844543336159571778e-02 -8.025284152692480077e-02
0.000000000000000000e+00 -1.571562821934226486e+04 9.668034035053973962e-02 1.029851347716516585e+01 2.747305605612580803e-02 -1.595219140056665541e+00
0.000000000000000000e+00 -1.564493398164241989e+04 1.336930939032754395e-01 1.266837978760545269e+01 4.939853029507593196e-02 -4.486826614307615202e-01
0.000000000000000000e+00 -1.527286962731262429e+04 1.960951173550651294e-01 6.797614855857183613e+00 -3.874659976329820898e-02 1.867463103957458959e+00
0.000000000000000000e+00 -1.485355264375325896e+04 2.098824264092338243e-01 4.941707322366051258e+00 -4.097295178890680151e-02 -1.426812877173508909e+00
0.000000000000000000e+00 -1.436265148077523372e+04 6.917199071088619977e-02 1.324072250666080031e+01 3.389072104099903615e-02 -6.759708782470323918e-01
0.000000000000000000e+00 -1.435903376000952812e+04 1.928398936113908668e-01 3.220432742122263381e+00 -3.532910896979093995e-02 1.876418250155457379e+00
0.000000000000000000e+00 -1.421052089729358886e+04 5.731515805341225178e-02 1.627880867820641342e+01 -3.248228142556611187e-03 -6.582730742302929094e-01
0.000000000000000000e+00 -1.418944925984501424e+04 8.133819359817739958e-02 7.353168022369311885e+00 3.144893545978975913e-02 -1.184183438111432007e+00
0.000000000000000000e+00 -1.379768826418925164e+04 3.739238941340905509e-02 1.541552993546769201e+01 -9.977743923704207596e-03 4.647971566811381905e-01
0.000000000000000000e+00 -1.376629142710135602e+04 1.623650437408158398e-01 2.261212264466252453e+00 -3.529540293080710850e-02 1.134125117577872821e+00
0.000000000000000000e+00 -1.375534191520583590e+04 1.839687950843688080e-01 1.321382231338182400e+01 4.578363021832138058e-02 1.403282932647436976e+00
0.000000000000000000e+00 -1.364901537465446563e+04 8.523254996168294628e-02 8.739331550964040574e+00 -1.947553030800073387e-02 7.758792474856099908e-01
0.000000000000000000e+00 -1.363294255750992852e+04 1.955779909833829100e-01 1.787663005310389153e+01 -4.390677118221218006e-02 -3.833882450876231474e-01
0.000000000000000000e+00 -1.329792127684824663e+04 1.361445740799989146e-01 3.800146644661566153e+00 -2.957559406932196502e-02 -2.205270828801588756e-01
0.000000000000000000e+00 -1.325046558580323290e+04 1.455941484513202377e-01 1.280791915988410956e+01 3.085683195819048652e-02 -1.878530492059884871e+00
0.000000000000000000e+00 -1.295780599423621970e+04 2.081624036750477913e-01 1.356018288831694463e+01 -3.998442274352062564e-02 -1.108392583780654306e+00
0.000000000000000000e+00 -1.294286304385626136e+04 2.027800333642157948e-01 6.751067686199840878e+00 -2.863180953164888923e-02 -1.765668664880532202e+00
0.000000000000000000e+00 -1.269880321186557740e+04 1.075710808425819343e-01 2.655975450879994870e+00 3.118977646771360634e-03 -1.492169884238775168e+00
0.000000000000000000e+00 -1.256877269521671951e+04 2.617504910652881378e-01 2.866177156580198560e+00 -4.937564044175726807e-02 -1.474568834163386466e+00
0.000000000000000000e+00 -1.256826034434427675e+04 1.911508262833440108e-01 1.070653194228714256e+01 -4.204448085400559754e-02 6.495231793664029141e-01
0.000000000000000000e+00 -1.244029159169450031e+04 1.149434431300802029e-01 1.836514409779816503e+01 4.081279887825527142e-02 -2.233491781360452677e-01
0.000000000000000000e+00 -1.209485829538056532e+04 6.037677701948584996e-02 1.668838524240646848e+01 2.815747778605241780e-02 -4.592625231247593476e-02
0.000000000000000000e+00 -1.182934461578581795e+04 1.174407552552430012e-01 6.337319836751447610e+00 -1.707467945903823336e-02 -7.734222492239393176e-01
0.000000000000000000e+00 -1.162226375406783336e+04 8.507111822693302905e-02 6.129877695422916162e+00 1.801186594585610368e-02 -1.345773063246147760e+00
0.000000000000000000e+00 -1.152332510331418780e+04 2.920629681566695446e-01 2.230757565305789836e+00 -4.959623009959823053e-02 -1.882740798135483118e+00
0.000000000000000000e+00 -1.150344017634472220e+04 2.113837445639390467e-01 1.971406871291295460e+01 -4.312768668391953053e-02 -3.917025947522874141e-01
0.000000000000000000e+00 -1.125581583301692444e+04 1.402646534790604749e-01 1.305690871842736556e+01 -2.256555778187606734e-02 1.305587731650391881e+00
0.000000000000000000e+00 -1.102461329888704131e+04 2.551609849814290287e-01 6.242259875733068952e+00 -4.049439153315079892e-02 -1.656368719855068949e+00
0.000000000000000000e+00 -1.082541864179837648e+04 1.000332328036729335e-01 1.522621016561269691e+00 3.628228417455033050e-02 7.610550701227136727e-02
0.000000000000000000e+00 -1.071755680869154457e+04 1.376266033195392424e-01 1.731375944306729053e+01 -2.586465841829636153e-02 -2.362623861373762679e-01
0.000000000000000000e+00 -1.067499031638723500e+04 4.031473508871785683e-02 2.252149919224306629e+00 -7.961576431873416959e-03 6.319197365704907199e-01
0.000000000000000000e+00 -1.060539613899707001e+04 1.319555576499440441e-01 1.224891350529770229e+01 -1.579373408143027596e-02 -9.807985085095722866e-01
0.000000000000000000e+00 -1.052034310761324559e+04 1.691901481567014143e-01 1.365113280713320520e+01 4.655250977739947005e-02 3.887726581177548546e-01
