sigma l c d e
1.065966407233817914e-01 8.732379529537090956e-01 2.300223281809294917e-01 2.251537769512916565e-02 -3.945953570908066199e-01
1.219566971875405414e-01 8.529856845060246329e-01 2.267923692273419167e-01 2.141019863789303534e-02 -3.714777154322841390e-01
9.733523944391761495e-02 9.042230151329659904e-01 2.261354713457692789e-01 2.216986346137772221e-02 -3.974563652167814043e-01
1.101773489603244394e-01 8.379309977223956540e-01 1.876289921173357467e-01 2.405682708616773552e-02 -3.379436711887489064e-01
1.033468341004396829e-01 8.810125517518674343e-01 2.383324409741418570e-01 2.177762929733103453e-02 -4.052908452754430124e-01
1.168207290119196162e-01 8.619404644767324486e-01 1.878245695370663881e-01 2.418391230300386344e-02 -3.575561509574071151e-01
1.069470628006434498e-01 9.259868650122659028e-01 2.481098471427247709e-01 2.080669893941876694e-02 -3.922356567566580576e-01
1.040585947055762683e-01 8.289369702578623933e-01 2.425973868804167655e-01 2.144050666154010201e-02 -3.968777120809018344e-01
9.462204330899776084e-02 9.297083956432472540e-01 2.639221705613004065e-01 2.064977314322605922e-02 -4.200384035738222721e-01
1.012871020951595646e-01 8.706410517342421107e-01 2.665673415187879147e-01 1.985962106540300337e-02 -4.191406699650809253e-01
1.062275739604906094e-01 8.219464851312096032e-01 2.336158128203484896e-01 2.117127981465412312e-02 -3.995034890875698297e-01
1.127935404124236901e-01 7.954510236927824218e-01 2.329304960783145084e-01 2.188119829678574976e-02 -4.190583667931269130e-01
9.617808202963210040e-02 9.250239811030712689e-01 2.097648208881581766e-01 2.289042485652524953e-02 -3.655301414037086527e-01
1.003006943308389215e-01 8.903292990361222348e-01 2.345153368216796874e-01 2.164775893005654525e-02 -3.935715142889991691e-01
1.164151036338998135e-01 8.394721175153538884e-01 1.415834374400448681e-01 2.676249238646229156e-02 -2.946582064856222427e-01
1.058379016377456738e-01 8.619573268957368972e-01 2.544478234064171396e-01 2.037883584004737680e-02 -4.115198832759018321e-01
1.005932158642352525e-01 9.698339964014510706e-01 2.117865338763005312e-01 2.263750130889832443e-02 -3.652549167590838364e-01
1.003026150221606322e-01 9.700049573663466207e-01 1.876108310115893740e-01 2.375657819531565643e-02 -3.335526629962608514e-01
1.019524106188355594e-01 1.009626922565171059e+00 2.081760679217936616e-01 2.312054588895294180e-02 -3.846122017867006360e-01
9.350289442552441044e-02 8.589329868691257808e-01 2.491951313422389180e-01 2.065902017644136862e-02 -3.902980696288248508e-01
1.095383442077031699e-01 9.793078012506439833e-01 2.381709377192577914e-01 2.084274857198888803e-02 -4.129597855921914862e-01
9.535361811135834031e-02 9.626371916509632864e-01 1.760039780093698436e-01 2.557558231622850814e-02 -3.704754618273138345e-01
8.699662876399161249e-02 9.443615044892805788e-01 2.155510050337010597e-01 2.243153925102221724e-02 -4.025551525964423671e-01
9.347566258921677362e-02 1.068620118656759876e+00 2.002827349612656960e-01 2.335293956763069209e-02 -3.720962766964601709e-01
9.004711098667474156e-02 9.930019824000752005e-01 2.066069909433765339e-01 2.320959383189821409e-02 -3.766521330848634497e-01
1.145364083002188560e-01 8.918993848255787338e-01 2.142075779808430003e-01 2.314833119003480155e-02 -4.086312264608116251e-01
1.076588551457111353e-01 8.951782727588987187e-01 2.161608072680738513e-01 2.281762668388998688e-02 -3.866076791418712189e-01
1.120338488165578128e-01 8.669821228612540898e-01 1.855749257141545705e-01 2.343554831783207365e-02 -3.263671349449922543e-01
9.415727314565780492e-02 1.084394441435866163e+00 2.150369488613541602e-01 2.315086490640238387e-02 -3.826274618575935538e-01
9.104547396757402267e-02 8.838540146558422350e-01 2.023903428563986751e-01 2.391237651913939027e-02 -3.771662356435190322e-01
9.374829071732944386e-02 9.423124554013158072e-01 2.188350554479794319e-01 2.223767122844340360e-02 -3.756304400235221941e-01
1.046628137724450180e-01 8.007085516918195367e-01 2.921686487297237012e-01 1.925565130525538904e-02 -4.468212274096995396e-01
8.805492242780608991e-02 1.145461305048420586e+00 2.153127668853422882e-01 2.265818716501439775e-02 -3.929693332556912777e-01
1.094224945499070734e-01 8.281254033185136976e-01 2.012559103789555159e-01 2.338647018626951318e-02 -3.717195343511159322e-01
1.011054909623712722e-01 8.924282954474256346e-01 2.409152987785829758e-01 2.118664111216136264e-02 -3.924485618236827067e-01
1.000905006202648939e-01 9.070693251585055794e-01 1.971347288353642035e-01 2.339589102677424454e-02 -3.468210880761242176e-01
1.202626694909647020e-01 7.560293221840440614e-01 2.150853587144212486e-01 2.204752324033345048e-02 -3.879868920249938125e-01
9.561272010477286920e-02 8.994835925369384366e-01 1.900218227652588077e-01 2.474301002985373338e-02 -3.761858765895880197e-01
1.062977311628900273e-01 9.444947311172546822e-01 2.382814929862790976e-01 2.105960542422869938e-02 -3.949618345765193439e-01
1.011926948085071498e-01 8.566757774076055876e-01 1.996238833950516600e-01 2.342842480506658609e-02 -3.702307750094544492e-01
1.011535917382199168e-01 9.612685018985334118e-01 2.260487414106355786e-01 2.212566369104667849e-02 -3.849200836723778441e-01
