weight logl c d e
0.000000000000000000e+00 -5.240997804899827140e+33 2.163080493120586034e-01 4.248497718914011623e-01 7.867176613853332778e-01
0.000000000000000000e+00 -4.611097686249796710e+33 1.221809958399466822e-01 4.307321198490036696e-01 6.444028194194340031e-02
0.000000000000000000e+00 -4.315771551783443601e+33 -2.346897373782874663e-01 4.227771526816482273e-01 7.252476900296107587e-01
0.000000000000000000e+00 -3.582757077657897879e+33 7.291394468330820722e-01 4.085442433592482714e-01 -2.502457888651261619e-01
0.000000000000000000e+00 -3.546163014510365584e+33 9.165408716780558684e-01 4.058298296782963943e-01 -3.447573260313774313e-01
0.000000000000000000e+00 -3.388399007247893392e+33 7.760602166336902918e-01 4.074967781639846076e-01 6.084266876634900623e-01
0.000000000000000000e+00 -3.228101113412668801e+33 7.859188325174506495e-01 4.070690291953952267e-01 -7.498755339034641754e-01
0.000000000000000000e+00 -3.119790182951670621e+33 -1.397000432886017496e-01 4.269124416657298360e-01 -3.336264324429039085e-01
0.000000000000000000e+00 -3.029290210343757429e+33 3.276996304321642128e-01 4.168511655038124042e-01 -8.886924196765781936e-01
0.000000000000000000e+00 -3.018757267501849241e+33 -7.523852193125060150e-01 4.071860281663391423e-01 9.631588604091101402e-02
0.000000000000000000e+00 -2.856595228559137078e+33 -7.547580587387530127e-01 4.068290613585584525e-01 -4.628028832144928106e-01
0.000000000000000000e+00 -2.839636970984949899e+33 4.970058524919778176e-01 4.116432039276495258e-01 -6.863490405390566540e-01
0.000000000000000000e+00 -2.839278967207926994e+33 -9.082043595128101998e-01 4.046456671183989995e-01 7.606693227800711554e-01
0.000000000000000000e+00 -2.775057581670137984e+33 8.909148091925440660e-01 4.047359868864623955e-01 4.238185179879130349e-01
0.000000000000000000e+00 -2.569654003153607372e+33 -4.846370104561912306e-01 4.113559825516897028e-01 4.618735854554352205e-01
0.000000000000000000e+00 -1.939148992111739600e+33 -5.620399070331631997e-01 4.080028370472411070e-01 -4.513916724039823691e-02
0.000000000000000000e+00 -1.730797700823627539e+33 4.122796261044927579e-01 4.109394213426863507e-01 9.834762526271301208e-01
0.000000000000000000e+00 -1.565192680617930005e+33 -8.315055723700790491e-01 4.022133716588077723e-01 6.549262513313529599e-01
0.000000000000000000e+00 -1.543178726191417380e+33 6.255154737457457870e-01 4.054354235143994845e-01 -4.187966078612843646e-01
0.000000000000000000e+00 -1.536192562088551437e+33 8.752669522177445316e-01 4.015094104991475676e-01 5.011201017054427442e-01
0.000000000000000000e+00 -1.420163655592804534e+33 -4.914813091252661081e-01 4.077522685787858259e-01 1.346349302328690989e-01
0.000000000000000000e+00 -1.365660773036665033e+33 1.895641433955324029e-01 4.185801592310283148e-01 -3.173878849534506053e-01
0.000000000000000000e+00 -1.334383356863924304e+33 -8.732983529174540571e-01 4.007180704189252096e-01 5.848817745001839707e-01
0.000000000000000000e+00 -1.314421993727374486e+33 -2.892879740877387640e-01 4.134538997277358852e-01 2.606414836909642929e-01
0.000000000000000000e+00 -1.239399396774324724e+33 5.488913659605225703e-01 4.056799442949013401e-01 -8.394955296453867621e-01
0.000000000000000000e+00 -1.187262960632394807e+33 2.962627605916521301e-01 4.125871200582438281e-01 2.000882274861521815e-01
0.000000000000000000e+00 -1.009522739989738005e+33 -5.718045728112186588e-01 4.040146386269307111e-01 8.190958764409104198e-01
0.000000000000000000e+00 -9.966663428804661478e+32 4.735429102571775406e-01 4.061288364718776966e-01 7.321134046049604382e-01
0.000000000000000000e+00 -9.788544484336237108e+32 -6.199796022838979237e-01 4.028966395450883087e-01 1.827480597435737764e-01
0.000000000000000000e+00 -8.871451867814416576e+32 -3.028071855160323622e-01 4.106428151990238473e-01 7.172864431359249338e-01
0.000000000000000000e+00 -7.935485079690287166e+32 -4.372874565189677210e-01 4.057307361596433903e-01 -4.286007137887688501e-01
0.000000000000000000e+00 -7.823114721204478160e+32 5.791447402644283038e-01 4.023866830666048000e-01 -2.540068493649509929e-01
0.000000000000000000e+00 -5.885507953433295227e+32 8.068778760376664749e-01 3.968847934224860596e-01 2.782666509075999439e-01
0.000000000000000000e+00 -5.854405751958208312e+32 1.520180238074919643e-02 4.429318835879512695e-01 2.319092012297516714e-01
0.000000000000000000e+00 -5.623412756235881788e+32 4.096049493638245220e-01 4.044910341298450507e-01 -6.511910218074281609e-01
0.000000000000000000e+00 -5.604989529025119674e+32 -6.860909330094338010e-01 3.984840440198840761e-01 -5.478099786941439397e-01
