c d e
2.273959196691328621e-01 2.225838286834608964e-02 -4.152217114289532551e-01
2.315881105749353353e-01 2.199634520382631048e-02 -4.158775473257773081e-01
2.125334334854789287e-01 2.295753395268471803e-02 -3.951844783278468665e-01
2.223753387491529399e-01 2.251228410737514743e-02 -4.019684810300127031e-01
2.277465006226744304e-01 2.236977623713059041e-02 -4.129684300592298962e-01
2.326909138073647298e-01 2.215623286723781768e-02 -4.186459348472871822e-01
2.181049158493961748e-01 2.265756164459693800e-02 -3.949629887157117825e-01
2.282526168214948914e-01 2.218384320545881139e-02 -4.008485578849672049e-01
2.376364393152230470e-01 2.171282289783084407e-02 -4.210626110177082548e-01
2.246970735066824432e-01 2.229210144552103146e-02 -3.927360991739083929e-01
2.156727865182908044e-01 2.266274119022685177e-02 -3.911123559353039125e-01
2.255378040610440671e-01 2.242102930052110657e-02 -4.141578951907740613e-01
2.031014683026859391e-01 2.338429329222573710e-02 -3.778814155219262227e-01
2.512532288636561972e-01 2.124832960855167763e-02 -4.435006006251979160e-01
2.432170093677508138e-01 2.154976832240138029e-02 -4.248768445788924097e-01
2.023666370456549402e-01 2.321444892023322853e-02 -3.651319191663019437e-01
2.142800892837781745e-01 2.275301941143105175e-02 -3.917434946587848854e-01
2.149085077240435737e-01 2.278913018008364363e-02 -3.948759817744023071e-01
2.295166657985929781e-01 2.212330146007176687e-02 -4.106053263290270205e-01
2.138300055289601431e-01 2.297375372560645640e-02 -3.980784128158577628e-01
2.288540703999353276e-01 2.219867905000773647e-02 -4.139184175425572043e-01
2.345984451009128779e-01 2.176261016970465131e-02 -4.068507382786936688e-01
2.302168638899120268e-01 2.219577723137126576e-02 -4.198545824906786406e-01
2.078582193426041780e-01 2.333237662377720886e-02 -3.939583008186549051e-01
2.256153542078718210e-01 2.233902536343253600e-02 -4.088690922278401807e-01
2.190447896009337647e-01 2.261328887489850309e-02 -3.931473251512678235e-01
2.320730126427343887e-01 2.197659754937764456e-02 -4.139007778126372328e-01
2.407962746856828762e-01 2.165194730667076642e-02 -4.252147916559165797e-01
2.149713360359890579e-01 2.271731088179878427e-02 -3.829285685478929224e-01
2.168610137625546219e-01 2.272285034848407770e-02 -3.935572167600372984e-01
2.435385998596242274e-01 2.161005307279938170e-02 -4.360724607260563213e-01
2.130294020744936123e-01 2.290315211305647691e-02 -3.877257633805318848e-01
2.381136304903763712e-01 2.174914911131263853e-02 -4.252512117972737649e-01
2.343406445327351761e-01 2.205025606622216042e-02 -4.206374058043463871e-01
2.236751590530619005e-01 2.241588963997270811e-02 -4.022004008584315615e-01
2.499263067210832912e-01 2.127152338161775874e-02 -4.364068421963118727e-01
2.209424961926664821e-01 2.263792319325102012e-02 -4.081153890238554682e-01
2.132556482526033470e-01 2.301204287088203654e-02 -3.905848552166192311e-01
2.397812569308879205e-01 2.165696151483646054e-02 -4.242544939956393035e-01
2.262092032551963339e-01 2.239349342578481408e-02 -4.123446560965247087e-01
2.264029843776045325e-01 2.213804639226883003e-02 -4.051854982560904039e-01
2.263029639245268676e-01 2.221753030214196692e-02 -4.069739895996132839e-01
2.313284570569096310e-01 2.212714812353581625e-02 -4.172556114261837257e-01
2.145536051280834133e-01 2.286578230541718923e-02 -4.005718710666513749e-01
2.255334399918420552e-01 2.242675135576600864e-02 -4.123059900357254337e-01
2.281050758092457720e-01 2.214420685380491527e-02 -4.039462187317717223e-01
2.190447896009337647e-01 2.261328887489850309e-02 -3.931473251512678235e-01
2.210151418294372672e-01 2.246082232444501087e-02 -3.974825537091479788e-01
2.426416937816768815e-01 2.179401061089479563e-02 -4.439505840614316190e-01
2.327639582772895732e-01 2.184719610065599671e-02 -4.083538700524694809e-01
2.362483377658777250e-01 2.177682122180216867e-02 -4.163874411905922335e-01
2.209540957175977205e-01 2.246165982188032609e-02 -4.006884775088424000e-01
2.178126519628995617e-01 2.268749741704595424e-02 -4.008987391365629316e-01
2.379315971449824652e-01 2.176057551629434830e-02 -4.263003480318144911e-01
2.326175388910194375e-01 2.196712915880346534e-02 -4.162363865190484846e-01
2.230070117295364085e-01 2.248710648251188438e-02 -4.064147647700538935e-01
2.157362813460297346e-01 2.272617982794609276e-02 -3.933327283872573021e-01
2.328327084674666203e-01 2.201596289561340986e-02 -4.196274996036285510e-01
2.335434207925639605e-01 2.192930978690079899e-02 -4.133629219639255448e-01
2.306291480071853695e-01 2.204497227014965907e-02 -4.141128985944070307e-01
2.308832839437746642e-01 2.196677628741319777e-02 -4.057422913171825352e-01
2.417934986844976208e-01 2.161966653410489839e-02 -4.296777110856824233e-01
