weight logl c d e
0.000000000000000000e+00 -9.504419947697518884e+35 4.553152351536937648e-02 8.767117012988477898e-01 4.505850936910772431e-01
0.000000000000000000e+00 -9.493571336751780849e+35 4.586233022287511396e-01 9.322461436246878286e-01 1.970922878862712002e-01
0.000000000000000000e+00 -9.046629039204320547e+35 8.646080082087881369e-01 8.812478211347853918e-01 4.361522089587605011e-01
0.000000000000000000e+00 -8.210593081664848623e+35 3.033018804777295463e-01 8.944324055186150257e-01 4.290944448263970257e-01
0.000000000000000000e+00 -7.398539400538126496e+35 9.826077093602673118e-01 8.724143775752285501e-01 4.285874521219740219e-01
0.000000000000000000e+00 -6.387162569862686691e+35 3.131689376644830602e-02 8.713889169369943843e-01 4.242145713461821233e-01
0.000000000000000000e+00 -6.170108860142347686e+35 1.188398040429552438e-01 8.757815580798729016e-01 2.617817938369455533e-01
0.000000000000000000e+00 -6.052442250696734124e+35 5.045426820077065777e-01 9.782061865926697797e-01 7.947316366749835881e-01
0.000000000000000000e+00 -5.375584937974895772e+35 9.704799952685133624e-01 8.693008408942819454e-01 8.491145158136929050e-01
0.000000000000000000e+00 -3.877998115872706737e+35 5.301404954225332755e-01 9.292153679784503906e-01 4.250542534091161784e-01
0.000000000000000000e+00 -2.969907553965026288e+35 5.739193464494859453e-01 9.053332071248468838e-01 1.429566400003010607e-01
0.000000000000000000e+00 -2.607289640675629747e+35 6.130194126577981351e-02 8.625323890621667822e-01 2.538929376169074548e-01
0.000000000000000000e+00 -2.577691401169956147e+35 9.266441941747524114e-01 8.630461885697233715e-01 6.692614164729602244e-01
0.000000000000000000e+00 -2.186631337902082334e+35 7.923012450768107673e-01 8.699088222696496064e-01 2.687835463638124089e-01
0.000000000000000000e+00 -1.644866235342368369e+35 2.391583102994256915e-01 8.692483263017802830e-01 5.272382959280307313e-01
0.000000000000000000e+00 -1.630245905895052002e+35 4.864398509731004960e-01 9.376827281368352862e-01 8.975706104515246420e-02
0.000000000000000000e+00 -1.471375227164672755e+35 9.020623933481609624e-01 8.579200554717165694e-01 5.529684361228843770e-01
0.000000000000000000e+00 -1.450764496556042690e+35 1.659733400333814890e-01 8.620564556045733351e-01 4.124841771341301033e-01
0.000000000000000000e+00 -1.435822730572392266e+35 2.455636682691579864e-01 8.682488250298606713e-01 2.044043566541117185e-01
0.000000000000000000e+00 -1.388832063075289869e+35 5.416190733705513738e-01 9.098386791052867073e-01 9.573117125040589981e-01
0.000000000000000000e+00 -1.319540701502853786e+35 9.519865384445402867e-01 8.539418446648147087e-01 7.318449646739532133e-01
0.000000000000000000e+00 -1.100034854638669918e+35 8.040101900121299217e-01 8.610309269975322533e-01 6.935471272796145392e-03
0.000000000000000000e+00 -1.016006130714647857e+35 7.611433606624158354e-01 8.636346900321613118e-01 8.071300699811401191e-01
0.000000000000000000e+00 -9.834192879499591846e+34 8.488040320390930482e-01 8.565431155561716858e-01 8.525484200367944299e-01
0.000000000000000000e+00 -7.113234622716574903e+34 1.915346345953418128e-01 8.556372221272938727e-01 1.878410618475968574e-01
0.000000000000000000e+00 -7.020550034968395017e+34 6.196725183334047538e-01 8.774449118744956921e-01 4.700143701744594615e-01
0.000000000000000000e+00 -5.989453023156133282e+34 9.303091306417072825e-01 8.459201217178380361e-01 1.713039810889884773e-01
0.000000000000000000e+00 -5.984201691973739695e+34 5.396853651648082506e-01 9.011839160677006522e-01 7.052317245707310223e-01
0.000000000000000000e+00 -5.591844082031991081e+34 3.815543634459772626e-02 8.434824442804581546e-01 7.566556779294976165e-01
0.000000000000000000e+00 -5.022614131127047372e+34 2.196991807661531348e-01 8.538219131004168849e-01 4.455359575019062213e-01
0.000000000000000000e+00 -3.929988768479922421e+34 1.700603484115636999e-02 8.383522131435003910e-01 9.284863599053593264e-01
0.000000000000000000e+00 -3.886466830333195571e+34 5.592082119299002230e-02 8.401720672779773302e-01 7.700314951923087348e-01
0.000000000000000000e+00 -3.275868984539692550e+34 3.253168021365783202e-01 8.598344382653358986e-01 7.216332287316680194e-01
0.000000000000000000e+00 -2.413699037321546165e+34 1.314604915992810819e-01 8.389721501842598572e-01 4.802576448302341428e-01
0.000000000000000000e+00 -2.155405065394560733e+34 8.460337665988436617e-01 8.391211269663655381e-01 9.637774381718852146e-01
