weight logl a b
0.000000000000000000e+00 -3.331799200440394343e+05 -3.061954361584284801e-02 -7.274823488766544166e-01
0.000000000000000000e+00 -3.314441092105831485e+05 -1.050887709530494429e-02 -1.924635319171565495e+00
0.000000000000000000e+00 -3.291823464534913655e+05 3.652470483665258560e-02 1.409430811043830278e+00
0.000000000000000000e+00 -3.286934727875660756e+05 -2.573329245616410438e-02 -1.021772246244325277e+00
0.000000000000000000e+00 -3.284668906650346471e+05 -2.270625814930343767e-02 -1.208853526085661656e+00
0.000000000000000000e+00 -3.271205821212359006e+05 -3.142257065069994915e-02 -6.429176802064211493e-01
0.000000000000000000e+00 -3.265339926773040206e+05 -4.290790915428162322e-02 1.934250767258012260e-01
0.000000000000000000e+00 -3.262952061322412919e+05 -1.831366271181139593e-02 -1.461569390800570023e+00
0.000000000000000000e+00 -3.262868340595040354e+05 -4.467602060840524664e-02 3.357877170197207661e-01
0.000000000000000000e+00 -3.260799330823431956e+05 -4.887808428224852536e-02 6.897890238883737091e-01
0.000000000000000000e+00 -3.253351836178537342e+05 -3.698237124177651547e-02 -2.457404268424530080e-01
0.000000000000000000e+00 -3.230881005205383408e+05 4.394566487998237403e-02 9.381610907420885326e-01
0.000000000000000000e+00 -3.229242192121943808e+05 -3.606758998337723787e-02 -2.983214607879074443e-01
0.000000000000000000e+00 -3.225620038817944005e+05 -3.676266767860963958e-02 -2.463546557014675287e-01
0.000000000000000000e+00 -3.219294852842892869e+05 -1.541737216604143618e-02 -1.608624199444784075e+00
0.000000000000000000e+00 -3.218792760370045435e+05 3.994357144726382036e-02 1.175554617542366120e+00
0.000000000000000000e+00 -3.193793250572991674e+05 -2.362147503430377452e-02 -1.108505146826519461e+00
0.000000000000000000e+00 -3.188933793015043484e+05 4.269910925631473231e-02 9.946760556935121400e-01
0.000000000000000000e+00 -3.176223539991906728e+05 -2.352289826042414100e-02 -1.106016291065656798e+00
0.000000000000000000e+00 -3.175644750580574619e+05 4.973937787798921040e-02 5.389823845036865180e-01
0.000000000000000000e+00 -3.155492739863930037e+05 -3.975174523296198109e-02 1.468995203205514244e-02
0.000000000000000000e+00 -3.131080111216760124e+05 -4.038415385422832599e-02 7.738549994786625419e-02
0.000000000000000000e+00 -3.126297944801930571e+05 2.466002360663167858e-02 1.978127071649592672e+00
0.000000000000000000e+00 -3.123578943327195593e+05 -1.004858804682680351e-02 -1.862977556566975501e+00
0.000000000000000000e+00 -3.088165489755973103e+05 -4.203206906102888163e-02 2.320455441812936392e-01
0.000000000000000000e+00 -3.084543317119691637e+05 3.157634089496874630e-02 1.591501190020295997e+00
0.000000000000000000e+00 -3.082448925662893453e+05 -2.239595874507321893e-02 -1.129491195609886756e+00
0.000000000000000000e+00 -3.077203096004428226e+05 3.126445294844004685e-02 1.605214250137861232e+00
0.000000000000000000e+00 -3.034087068332890631e+05 2.666354553216654377e-02 1.832054174782668632e+00
0.000000000000000000e+00 -3.033256703822044074e+05 -2.384767403658124771e-02 -1.014485967985435444e+00
0.000000000000000000e+00 -3.030535360956317745e+05 -3.346732948369926519e-02 -3.735264475165438469e-01
0.000000000000000000e+00 -3.029886218669063528e+05 -3.539779603861306634e-02 -2.353321000132555518e-01
0.000000000000000000e+00 -3.028270325622241944e+05 -4.579618876971968539e-02 5.808590524749646100e-01
0.000000000000000000e+00 -3.024752636333185364e+05 -2.913980311328937672e-02 -6.672820365199387815e-01
0.000000000000000000e+00 -3.022482068744697026e+05 -2.575392417554274449e-02 -8.878824893987316003e-01
0.000000000000000000e+00 -3.021014835567551781e+05 -2.947370623217338004e-02 -6.429356274935176252e-01
0.000000000000000000e+00 -3.017721102390641463e+05 -1.884137448414383714e-02 -1.313036062368257095e+00
0.000000000000000000e+00 -3.015436007602006430e+05 -9.272494777901062191e-03 -1.854753620590738006e+00
0.000000000000000000e+00 -2.979856405979170813e+05 -1.604486375837432116e-02 -1.458891731025725669e+00
0.000000000000000000e+00 -2.977814163414465729e+05 -3.828143180218860492e-02 8.646235229668342015e-03
0.000000000000000000e+00 -2.972796289781918749e+05 2.767410237874780299e-02 1.750202758766522315e+00
0.000000000000000000e+00 -2.968099020651385072e+05 -1.845540492555678563e-02 -1.311581078379597809e+00
0.000000000000000000e+00 -2.953818553380523808e+05 3.788216034407733412e-02 1.169579108564255510e+00
0.000000000000000000e+00 -2.950237243336031679e+05 -4.008764061605733092e-02 1.647335164719949674e-01
0.000000000000000000e+00 -2.948260706631814828e+05 -8.610572226424653697e-03 -1.858815277325879922e+00
0.000000000000000000e+00 -2.924854221862820559e+05 -3.676015721416574927e-02 -7.400591829199321126e-02
0.000000000000000000e+00 -2.921407092664994416e+05 -5.810258864524443789e-03 -1.994615499425352656e+00
0.000000000000000000e+00 -2.917937695861741086e+05 2.767293473761363309e-02 1.724423835967360485e+00
0.000000000000000000e+00 -2.898105149619511794e+05 -2.565937046406705641e-02 -8.290238757381378498e-01
0.000000000000000000e+00 -2.887293266727521550e+05 -4.507946547288236433e-02 6.172271040369938788e-01
0.000000000000000000e+00 -2.886512081080994685e+05 4.693912813373850301e-02 5.718151892525877855e-01
0.000000000000000000e+00 -2.866829793251762749e+05 2.328355919404198615e-02 1.928661127514745832e+00
0.000000000000000000e+00 -2.863728164089029888e+05 2.880450918175461728e-02 1.638001039882468035e+00
0.000000000000000000e+00 -2.863035710565397167e+05 3.134368628036983406e-02 1.498988135790340959e+00
0.000000000000000000e+00 -2.859456867660014541e+05 -2.218463160356538844e-02 -1.029521782533243446e+00
0.000000000000000000e+00 -2.850144660501417238e+05 -3.800804109522659679e-02 6.601872928784047190e-02
0.000000000000000000e+00 -2.845040311128078611e+05 -1.521306496172978445e-02 -1.440778935129575444e+00
0.000000000000000000e+00 -2.818986579780863249e+05 -2.954150786226367176e-02 -5.278841050310330019e-01
0.000000000000000000e+00 -2.808971552739118342e+05 -9.966836943386327141e-03 -1.718330490075101746e+00
0.000000000000000000e+00 -2.808432758828191436e+05 3.827207265230855859e-02 1.073559071337122806e+00
0.000000000000000000e+00 -2.797163270996549982e+05 -1.857661575165518025e-02 -1.218328144008860470e+00
0.000000000000000000e+00 -2.791227928506354801e+05 -3.882242864651616610e-02 1.665648465893898589e-01
0.000000000000000000e+00 -2.787678815039966721e+05 -1.624086554362712959e-02 -1.352175651456148042e+00
0.000000000000000000e+00 -2.778251410330485669e+05 3.018388452275015676e-02 1.521511902405082939e+00
0.000000000000000000e+00 -2.772852901762966067e+05 -1.043495248426556943e-02 -1.674899900779447837e+00
0.000000000000000000e+00 -2.770886737990004476e+05 -4.511130979376509059e-02 7.047748796038582064e-01
0.000000000000000000e+00 -2.767659472946439055e+05 4.025004111308376487e-02 9.329550544703297810e-01
0.000000000000000000e+00 -2.761933095720268902e+05 4.412617607956734189e-02 6.872653465136244755e-01
0.000000000000000000e+00 -2.756968723871448310e+05 -4.114059026591864593e-02 3.753805323008037043e-01
0.000000000000000000e+00 -2.752026870428497787e+05 -3.751401601808647401e-02 8.988962596627469992e-02
0.000000000000000000e+00 -2.731958865235169651e+05 -1.732959492955916947e-02 -1.259415583278719275e+00
0.000000000000000000e+00 -2.728511026322171092e+05 2.681957736833744110e-02 1.678596220056063348e+00
0.000000000000000000e+00 -2.728227347597510670e+05 -4.992714819801302717e-02 1.198892533138426142e+00
0.000000000000000000e+00 -2.722812685128379380e+05 -2.498682186869917443e-02 -7.782377014513719438e-01
0.000000000000000000e+00 -2.722543699259222485e+05 -1.023324402561252150e-02 -1.661136282886144677e+00
0.000000000000000000e+00 -2.717384354634021875e+05 -1.547636656656601467e-02 -1.361151914766106419e+00
0.000000000000000000e+00 -2.713853646372497897e+05 3.980053569147472270e-02 9.322943278163449143e-01
0.000000000000000000e+00 -2.697828605491592316e+05 2.078530139485368355e-02 1.973696704774244193e+00
0.000000000000000000e+00 -2.691196479523313465e+05 -7.155469832721195189e-03 -1.812619167251309893e+00
0.000000000000000000e+00 -2.691011611379284877e+05 -2.324911903098085889e-02 -8.728936343773394668e-01
0.000000000000000000e+00 -2.690732727066756925e+05 -4.362608390464894209e-02 6.333673066273286523e-01
0.000000000000000000e+00 -2.686187548523879377e+05 3.574964100750387119e-02 1.160081656822665952e+00
0.000000000000000000e+00 -2.670888404634319595e+05 -1.850852629439553310e-02 -1.156851013457265598e+00
0.000000000000000000e+00 -2.669148971676514484e+05 -1.362650099027817169e-02 -1.443499002506247297e+00
0.000000000000000000e+00 -2.661050904190614237e+05 -4.170879639767867408e-02 4.899549511968639415e-01
0.000000000000000000e+00 -2.651871342567214160e+05 -3.198025350597791944e-02 -2.598630413618829849e-01
0.000000000000000000e+00 -2.638611203549430938e+05 -7.247931134084020788e-03 -1.781567986589928765e+00
0.000000000000000000e+00 -2.637509186320040026e+05 4.717998914958976275e-02 4.180681746519727682e-01
0.000000000000000000e+00 -2.636735236251914175e+05 2.181526358838725699e-02 1.892379634322102877e+00
0.000000000000000000e+00 -2.633118859420316876e+05 -5.303167325544519417e-03 -1.881911784323816672e+00
0.000000000000000000e+00 -2.628532237951254356e+05 -4.914023168804405872e-02 1.208765484268468526e+00
0.000000000000000000e+00 -2.611713101562098891e+05 -3.884674129559443495e-02 2.880265294809505328e-01
