a b
1.002996188782453307e-02 -9.729851510470677312e-02
1.036373981814385503e-02 -1.048051749045004755e-01
1.017445701963850396e-02 -1.014890609909564478e-01
9.890971145356620975e-03 -7.868014130434630715e-02
1.005358795738216238e-02 -8.729008479242739149e-02
1.002477589403651115e-02 -9.010006761007405274e-02
1.008914967058399670e-02 -8.890580878974230217e-02
1.020887453760403740e-02 -1.010828984597340607e-01
1.007011829762115285e-02 -8.829926420374323293e-02
9.892307786745636877e-03 -8.062936114301177959e-02
1.007622314578075773e-02 -8.975689908565209763e-02
1.018319443888006381e-02 -9.676717120260169835e-02
9.975384639743997695e-03 -7.873269088407575111e-02
1.002632705064421259e-02 -8.493562096116735738e-02
1.007187156784324078e-02 -8.677290696661232872e-02
1.006100392153382039e-02 -9.163543109779204165e-02
1.008091967208316758e-02 -8.885762246935002828e-02
1.005733186477529573e-02 -8.925802195944765316e-02
1.011208907408409768e-02 -9.342658414299886971e-02
1.004465350316920136e-02 -9.259769210789947635e-02
1.002726821530937340e-02 -8.461560729772132916e-02
1.010466571798753627e-02 -9.130822760609436095e-02
1.014486256987440216e-02 -9.581397016466253191e-02
9.983276748872262074e-03 -8.309956527778239455e-02
1.012215000502537932e-02 -9.728527317939450469e-02
1.006192649987582011e-02 -9.027201582285515613e-02
1.006994173344181315e-02 -9.106045633515513771e-02
1.004124232104027653e-02 -9.009693960722442441e-02
1.020048186887397706e-02 -9.633875617755638388e-02
1.013820834927109393e-02 -9.581761010592160233e-02
1.009394705322188418e-02 -8.423049225030099230e-02
1.003775803999205907e-02 -8.592892128393692097e-02
1.005665774479116287e-02 -8.950595462536004021e-02
1.018624419451672619e-02 -1.016144296872032449e-01
1.029206612122115366e-02 -1.050784509598774452e-01
1.001085473739478371e-02 -8.375960486575495523e-02
1.000580456190842960e-02 -8.067176078550875040e-02
1.028196497718462249e-02 -9.942725738208735287e-02
1.009571107687196045e-02 -9.009359709652198234e-02
9.984219356874490803e-03 -8.662208487841893678e-02
1.025296980260566315e-02 -8.911454876222379973e-02
1.010208164227495431e-02 -9.229760626202976326e-02
1.004046476386076525e-02 -9.275738003601885495e-02
1.005733186477529573e-02 -8.925802195944765316e-02
1.008642240818061891e-02 -9.258343961551274148e-02
1.009665988418224913e-02 -9.033690878875488828e-02
1.028711478192653045e-02 -9.806732010646235231e-02
1.013366050093585796e-02 -9.499441639011063643e-02
1.001629527224467964e-02 -8.519533678917046160e-02
1.000582498994961878e-02 -8.499773540789679060e-02
1.026580060072248418e-02 -9.787185434310252674e-02
1.011986649740233973e-02 -8.897122421060355002e-02
1.005447299155168978e-02 -8.518899050510220228e-02
1.001390552401922041e-02 -8.716858426811113780e-02
9.939424331942017798e-03 -7.851855273618157938e-02
1.014483802658514705e-02 -8.380498402433111949e-02
1.021800356934728787e-02 -9.359417329874397673e-02
1.007110096950232514e-02 -8.352991447328572683e-02
9.937758042059707808e-03 -8.414318291701228247e-02
9.923719460245949975e-03 -8.856909639415988522e-02
1.000405123607182867e-02 -8.095613028115389298e-02
9.831334030398729273e-03 -7.582203783296503907e-02
1.013416570210430578e-02 -9.363436574922978650e-02
1.001555291772230488e-02 -8.385427951497037569e-02
1.008811921987132904e-02 -9.461759694443383495e-02
1.020048186887397706e-02 -9.633875617755638388e-02
1.012771894363525410e-02 -8.994035409401779368e-02
1.012551914389932944e-02 -9.158595318793194551e-02
9.941715196816247602e-03 -7.518581417987602045e-02
1.008932552050627318e-02 -8.979735415897183159e-02
1.005749052299794583e-02 -8.993391764741986982e-02
9.955664309361914044e-03 -7.910423501299934657e-02
1.027900412897565785e-02 -9.871106913655403048e-02
1.010870698724498917e-02 -9.166036473779137772e-02
1.024322400333795013e-02 -9.535218974149217708e-02
9.964457215735057771e-03 -8.047573603796709385e-02
1.000567898173957554e-02 -9.341931117164015141e-02
1.003433169652771101e-02 -9.372150204207119195e-02
