weight logl a b
0.000000000000000000e+00 -2.845040311128078611e+05 3.478693503827021694e-01 1.398052662176061389e-01
0.000000000000000000e+00 -2.818986579780863249e+05 2.045849213773632824e-01 3.680289737422417495e-01
0.000000000000000000e+00 -2.808971552739118342e+05 4.003316305661367425e-01 7.041737748122456342e-02
0.000000000000000000e+00 -2.808432758828191436e+05 8.827207265230855304e-01 7.683897678342807014e-01
0.000000000000000000e+00 -2.797163270996549982e+05 3.142338424834482113e-01 1.954179639977848826e-01
0.000000000000000000e+00 -2.791227928506354801e+05 1.117757135348383946e-01 5.416412116473474647e-01
0.000000000000000000e+00 -2.787678815039966721e+05 3.375913445637287458e-01 1.619560871359629894e-01
0.000000000000000000e+00 -2.778251410330485669e+05 8.018388452275015954e-01 8.803779756012707347e-01
0.000000000000000000e+00 -2.772852901762966067e+05 3.956504751573443057e-01 8.127502480513804084e-02
0.000000000000000000e+00 -2.770886737990004476e+05 4.888690206234913571e-02 6.761937199009645516e-01
0.000000000000000000e+00 -2.767659472946439055e+05 9.025004111308376764e-01 7.332387636175824452e-01
0.000000000000000000e+00 -2.761933095720268902e+05 9.412617607956733634e-01 6.718163366284061189e-01
0.000000000000000000e+00 -2.756968723871448310e+05 8.859409734081358234e-02 5.938451330752009261e-01
0.000000000000000000e+00 -2.752026870428497787e+05 1.248598398191352876e-01 5.224724064915686750e-01
0.000000000000000000e+00 -2.731958865235169651e+05 3.267040507044083331e-01 1.851461041803201812e-01
0.000000000000000000e+00 -2.728511026322171092e+05 7.681957736833743278e-01 9.196490550140158371e-01
0.000000000000000000e+00 -2.728227347597510670e+05 7.285180198697283060e-04 7.997231332846065355e-01
0.000000000000000000e+00 -2.722812685128379380e+05 2.501317813130082834e-01 3.054405746371570141e-01
0.000000000000000000e+00 -2.722543699259222485e+05 3.976675597438747989e-01 8.471592927846383070e-02
0.000000000000000000e+00 -2.717384354634021875e+05 3.452363343343398672e-01 1.597120213084733953e-01
0.000000000000000000e+00 -2.713853646372497897e+05 8.980053569147471437e-01 7.330735819540862286e-01
0.000000000000000000e+00 -2.697828605491592316e+05 7.078530139485368355e-01 9.934241761935610482e-01
0.000000000000000000e+00 -2.691196479523313465e+05 4.284453016727880481e-01 4.684520818717252677e-02
0.000000000000000000e+00 -2.691011611379284877e+05 2.675088096901914181e-01 2.817765914056651333e-01
0.000000000000000000e+00 -2.690732727066756925e+05 6.373916095351062072e-02 6.583418266568321631e-01
0.000000000000000000e+00 -2.686187548523879377e+05 8.574964100750387397e-01 7.900204142056664880e-01
0.000000000000000000e+00 -2.670888404634319595e+05 3.149147370560446690e-01 2.107872466356836005e-01
0.000000000000000000e+00 -2.669148971676514484e+05 3.637349900972183248e-01 1.391252493734381757e-01
0.000000000000000000e+00 -2.661050904190614237e+05 8.291203602321328692e-02 6.224887377992159854e-01
0.000000000000000000e+00 -2.651871342567214160e+05 1.801974649402208195e-01 4.350342396595292538e-01
0.000000000000000000e+00 -2.638611203549430938e+05 4.275206886591598199e-01 5.460800335251780879e-02
0.000000000000000000e+00 -2.637509186320040026e+05 9.717998914958976275e-01 6.045170436629931920e-01
0.000000000000000000e+00 -2.636735236251914175e+05 7.181526358838725699e-01 9.730949085805257193e-01
0.000000000000000000e+00 -2.633118859420316876e+05 4.469683267445547781e-01 2.952205391904583198e-02
0.000000000000000000e+00 -2.628532237951254356e+05 8.597683119559440534e-03 8.021913710671171316e-01
0.000000000000000000e+00 -2.611713101562098891e+05 1.115325870440556644e-01 5.720066323702376332e-01
0.000000000000000000e+00 -2.607509937587729946e+05 2.321179625246305722e-02 7.696902256704994949e-01
0.000000000000000000e+00 -2.606249243823964207e+05 1.332366570419829532e-02 7.951049399516886274e-01
0.000000000000000000e+00 -2.601853235309686861e+05 8.009878753161232545e-01 8.595179154120115017e-01
0.000000000000000000e+00 -2.600148779415980389e+05 7.044223169166782261e-01 9.857704263488870078e-01
